1	1	1	6	1	-0.1656
1	1	1	6	2	-0.1927
1	1	1	6	2	-0.1732
1	1	1	6	1	-0.1715
1	2	1	6	2	-0.1528
1	2	1	6	1	-0.1562
1	1	5	3	1	0.084
1	1	7	4	1	0.017
1	1	1	4	2	-0.1805
1	2	7	1	2	0.0261
1	2	9	5	2	0.0642
1	2	9	5	2	0.0609
1	1	5	3	2	0.0757
1	1	8	3	2	-0.111
1	2	2	5	2	0.0942
1	2	2	6	2	0.076
1	2	2	6	2	0.0888
1	2	7	4	2	0.0227
1	1	2	7	2	0.0811
1	2	1	5	1	-0.1816
1	2	1	5	2	-0.1983
1	1	1	6	1	-0.233
1	1	1	6	1	-0.2223
1	2	5	3	2	0.0798
1	1	2	5	2	0.0793
1	2	10	5	2	0.0724
1	2	2	6	2	0.0724
1	2	4	3	1	-0.08
1	2	2	6	1	0.083
1	2	7	3	1	0.0229
1	1	9	5	2	0.0599
1	1	2	5	2	0.0807
1	1	10	5	2	0.0731
1	1	2	7	2	0.0817
1	2	2	5	2	0.1133
1	2	7	3	2	0.0202
1	1	7	4	2	0.0279
1	2	7	4	2	0.0264
1	2	1	5	2	-0.1852
1	2	7	3	1	0.0238
1	1	1	5	2	-0.1588
1	2	1	4	2	-0.1831
1	1	7	4	2	0.0296
1	1	1	6	2	-0.1432
1	1	11	4	2	0.0826
1	1	9	5	2	0.0599
1	1	10	5	2	0.0515
1	2	7	1	2	0.0425
1	1	3	5	2	0.0871
1	2	7	3	2	0.0266
1	2	11	4	1	0.075
1	2	10	5	2	0.0577
1	1	11	3	2	0.0867
1	2	11	2	2	0.0822
1	1	11	2	1	0.0963
1	1	3	5	2	0.0808
1	2	10	5	2	0.071
1	2	6	6	2	0.0515
1	2	11	3	2	0.0681
1	1	10	5	2	0.0669
1	1	10	5	2	0.0582
1	1	10	5	2	0.0676
1	1	10	5	2	0.0707
1	1	10	5	2	0.0595
1	2	10	5	2	0.0761
1	1	10	5	1	0.0653
1	2	1	4	2	-0.1487
1	1	1	6	2	-0.185
1	2	1	4	2	-0.1526
1	1	8	5	1	-0.0515
1	2	7	3	1	0.0116
1	2	2	5	1	0.0835
1	2	2	5	2	0.0891
1	2	2	5	2	0.0872
1	1	2	5	2	0.0835
1	1	2	5	2	0.0906
1	1	2	6	2	0.1206
1	2	2	6	2	0.0781
1	2	7	4	1	0.0331
1	1	7	4	1	0.0276
1	1	2	7	2	0.0912
1	1	6	6	2	0.0508
1	1	1	6	2	-0.1606
1	2	2	7	2	0.0894
1	1	1	5	2	-0.1509
1	2	1	5	2	-0.1394
1	1	1	6	1	-0.1798
