Sample,Band,Colony,Colony_spec,Latitude,Longitude,Year_deployed,Year_blood,Sex,Age,PC1,Fall_depart,Fall_arrival,Spring_depart,Spring_arrival
PM34,135244513,TX,TX-SAN,27.997,-97.879,2013,2013,M,ASY,0.0707,222,258,64,80
PM35,135244515,TX,TX-SAN,27.997,-97.879,2013,2013,M,ASY,0.0595,213,244,64,83
PM36,135244522,TX,TX-CC,27.68,-97.407,2013,2013,F,ASY,0.0761,196,231,51,69
PM37,135244523,TX,TX-CC,27.68,-97.407,2013,2013,M,SY,0.0653,214,240,60,74
PM39,158135707,AB,AB-EBF,52.391,-113.612,2012,2013,F,ASY,-0.1487,233,311,124,159
PM41,168165904,AB,AB-CAM,53.011,-112.864,2014,2014,M,ASY,-0.185,229,277,110,134
PM43,223196527,AB,AB-EBF,52.391,-113.612,2012,2013,F,ASY,-0.1526,219,285,107,134
PM49,233184402,SD,SD-C,45.598,-98.31,2013,2013,M,SY,-0.0515,242,271,117,143
PM56,241102166,PA,PA,42.115,-80.145,2011,2011,F,SY,0.0116,241,274,108,137
PM58,250110803,FLD,FL-Disney,28.36,-81.588,2013,2013,F,SY,0.0835,175,185,13,33
PM61,250110807,FLD,FL-Disney,28.36,-81.588,2013,2013,F,ASY,0.0891,193,203,10,33
PM62,250110808,FLD,FL-Disney,28.36,-81.588,2013,2013,F,ASY,0.0872,188,201,28,43
PM69,250110817,FLD,FL-Disney,28.36,-81.588,2013,2013,M,ASY,0.0835,193,216,23,46
PM75,250110837,FLD,FL-Disney,28.36,-81.588,2013,2013,M,ASY,0.0906,190,214,27,45
PM80,250110909,FLD,FL-Disney,28.36,-81.588,2014,2014,M,ASY,0.1206,188,208,20,43
PM81,250110936,FLD,FL-Disney,28.36,-81.588,2014,2014,F,ASY,0.0781,216,243,30,57
PM86,250120654,PA,PA,42.115,-80.145,2012,2012,F,SY,0.0331,251,292,125,148
PM88,250120672,PA,PA,42.115,-80.145,2012,2012,M,SY,0.0276,247,289,118,139
PM91,250128173,FLD,FL-Disney,28.36,-81.588,2015,2015,M,ASY,0.0912,178,204,25,65
PM92,250145003,ON,ON-Ottowa,45.351,-75.827,2014,2014,M,ASY,0.0508,240,298,117,134
PM93,250145301,AB,AB-CAM,53.011,-112.864,2014,2014,M,ASY,-0.1606,246,301,106,149
PM94,250145329,FLD,FL-Disney,28.36,-81.588,2015,2015,F,ASY,0.0894,169,194,24,48
PM97,253104380,AB,AB-EBF,52.391,-113.612,2013,2013,M,ASY,-0.1509,228,281,114,140
PM98,253104392,AB,AB-EBF,52.391,-113.612,2013,2013,F,ASY,-0.1394,220,296,115,142
PM99,253104461,AB,AB-EBF,52.391,-113.612,2014,2014,M,SY,-0.1798,228,322,114,149
